Name,levelId,description,price,components,skills,image_urls,videoUrl,tutorialUrl
Kit Inicial 1 - Mis Primeras Luces,inicial-1,"Kit para niños de 3-4 años con LEDs, cables y componentes seguros",30,"LEDs de colores, Cables de conexión, Pila CR2032, Porta pila, Stickers, Cinta conductora, Tarjetas ilustradas, Caja organizadora, Guía para padres","Introducción a circuitos básicos, Reconocimiento de colores, Motricidad fina","https://drive.google.com/file/d/1j9PC18mcxTK1iG0jKpomPItKS3W2oFta/view,https://drive.google.com/file/d/1lqvCi1lTfcN-lI5X8vkq6r3Jk9QO1_lm/view,https://drive.google.com/file/d/1i42AvvZQx6D4H5Nqqi5H0LRKc1Qqsh6z/view,https://drive.google.com/file/d/1bj-aUrpPBqkYAukYxs7bHM-O_FovrhOz/view,https://drive.google.com/file/d/1MaME0PjBkqvVsKmsamlUlNrGX2Ih8hjJ/view,https://drive.google.com/file/d/1STa9iqY6p_TZR8z6CeZpcXj4qeEddpuR/view",,
Kit Inicial 2,inicial-2,"Kit Inicial: Led, cables jumper, pila CR 2032, Adhesivo Temático de robótica y circuitos, Cinta de cobre y Generador eólico",35,"LED, Cables jumper, Pila CR 2032, Adhesivo temático, Cinta de cobre, Generador eólico, Caja de Herramientas Plástica","Kit Inicial, Cinta y Generador eólico. Introducción a circuitos básicos",,,
Kit 3 Robots Preparatoria,primero-egb,"Kit 3 Robots: Robot Con articulaciones, Robot pintor, robot 4x4",40,"Robot con articulaciones, Motor con engranajes plásticos, Port apila, Cables de conexión, Topes plásticos, Robot pintor, Robot 4x4, Caja de Herramientas Plástica","Lectoescritura inicial con enfoque en vocabulario STEM",,,
Kit 3 Robots Elemental,segundo-egb,"Kit 3 robots: Robot radiocontrolado, Robot navegación acuática, Lámpara Moderna",45,"Robot radiocontrolado, Robot navegación acuática, Lámpara Moderna, Caja de Herramientas Plástica","Fortalecimiento de la lectoescritura y habilidades de comunicación",,,
Kit 3 Robots Elemental,tercero-egb,"Kit 3 robots: Robot Escalador, Carucel, Robot Eólico",45,"Robot Escalador, Carucel, Robot Eólico, Caja de Herramientas Plástica","Programación de robots para realizar tareas simples",,,
Kit Rueda de la Fortuna + FM,cuarto-egb,"Kit Rueda de la fortuna, FM 76-108MHz",50,"Rueda de la fortuna, Radio FM 76-108MHz, Caja de Herramientas Plástica","Resolución de problemas a través de proyectos STEM",,,
Kit Rueda + Radio RF-FM,quinto-egb,"Kit Rueda de la fortuna, Radio RF - FM",50,"Rueda de la fortuna, Radio RF-FM, Caja de Herramientas Plástica","Programación de robots para realizar tareas simples",,,
Kit Robot 4 en 1 + Circuito,sexto-egb,"Kit: Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY",55,"Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY, Caja de Herramientas Plástica","Construcción y programación de robots más complejos",,,
Kit Robot 4 en 1 + Avión,septimo-egb,"Kit: Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY",55,"Robot 4 en 1, Circuito electrónico generador aleatorio con micrófono, Avión DIY, Caja de Herramientas Plástica","Experimentación con circuitos electrónicos",,,
Carro Bluetooth WiFi ESP32,octavo-egb,"Carro Bluetooth con tb6612fng, Esp32 de 30 pines, adaptador de batería, switch 3 terminales",65,"TB6612FNG, ESP32 30 pines, Adaptador batería, Switch 3 terminales, Cables jumper, 2 Motores reductores TT, Placa controladora, Chassis 3D","Programación avanzada con ESP32",,,
Seguidor de Línea 2 Sensores,noveno-egb,"Seguidor de línea con 2 Sensores infrarrojos, tb6612fng, Esp super mini",65,"2 Sensores infrarrojos, TB6612FNG, ESP Super Mini, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D","Programación de sensores infrarrojos",,,
Robot Evita Obstáculos,decimo-egb,"Robot Evita Obstáculos con 1 Sensor ultrasónico, tb6612fng, Esp32 de 30 pines",70,"Sensor ultrasónico, TB6612FNG, ESP32 30 pines, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D","Programación de sensores ultrasónicos",,,
Robot Otto + Kit Práctico,primero-bach,"Robot otto con 4 servo motores, impresión 3d, shield de arduino nano",75,"4 Servo motores, Impresión 3D, Shield Arduino Nano, Arduino Nano, Cable conexión, Cables jumper, Sensor ultrasónico, Buzzer, Porta pilas AA×4","Programación avanzada con Arduino",,,
Kit Robot Soccer y Mini Sumo,segundo-bach,"Kit Robot soccer y mini sumo: tb6612fng, Esp32 de 30 pines",80,"TB6612FNG, ESP32 30 pines, Adaptador batería, Switch, Cables jumper, 2 Motores TT, Placa controladora, Chassis 3D impreso","Desarrollo de proyectos integrados",,,
Kit IoT ESP32,tercero-bach,"ESP32, sensor de temperatura, sensor de luz, sensor de humedad, relé, PCB, protoboard",85,"ESP32, Sensor temperatura, Sensor luz, Sensor humedad, Relé, PCB, Protoboard, Cables jumper, 6 LEDs, 1 RGB, Interruptor","Proyectos de domótica e IoT",,,
