levelId,moduleName,title,type,duration,order,videoUrl,content,locked
cuarto-egb,Hacking: Internet Seguro,¿Qué es internet?,video,15 min,1,,Red de computadoras conectadas en todo el mundo. Cómo viaja la información.,false
cuarto-egb,Hacking: Internet Seguro,Peligros en línea,video,20 min,2,,Extraños en internet información falsa y virus informáticos.,false
cuarto-egb,Hacking: Internet Seguro,Reglas de seguridad,activity,25 min,3,,Crear póster con las 10 reglas de seguridad en internet.,false
cuarto-egb,Hacking: Contraseñas,Contraseñas fuertes,video,15 min,4,,Por qué necesitamos contraseñas. Ejemplos de contraseñas malas vs buenas.,false
cuarto-egb,Hacking: Contraseñas,Crear contraseña segura,activity,25 min,5,,Técnica de frase: MiGatoTiene4Patas! Crear contraseñas memorables y seguras.,false
cuarto-egb,Hacking: Contraseñas,Juego de contraseñas,activity,20 min,6,,Adivinar si una contraseña es fuerte o débil. Competencia por equipos.,false
cuarto-egb,Hacking: Privacidad,Información personal,video,20 min,7,,Qué NO compartir en internet: dirección teléfono escuela fotos.,false
cuarto-egb,Hacking: Privacidad,Huella digital,activity,25 min,8,,Todo lo que publicas queda para siempre. Analizar huella digital propia.,false
cuarto-egb,Hacking: Privacidad,Configurar privacidad,tutorial,30 min,9,,Configurar privacidad en juegos y apps que usan los estudiantes.,false
cuarto-egb,Hacking: Proyecto,Campaña de seguridad,project,40 min,10,,Crear campaña para enseñar seguridad a otros niños.,false
cuarto-egb,Hacking: Proyecto,Presentación,activity,30 min,11,,Presentar campaña de seguridad a la clase.,true
cuarto-egb,Hacking: Proyecto,Certificado Ciudadano Digital,activity,15 min,12,,Entrega de Certificado de Ciudadano Digital Seguro.,true
quinto-egb,Hacking: Fake News,¿Qué son noticias falsas?,video,20 min,1,,Por qué existen las fake news y cómo se propagan en redes.,false
quinto-egb,Hacking: Fake News,Verificar información,tutorial,30 min,2,,Técnicas: buscar fuente original fecha y otras fuentes que confirmen.,false
quinto-egb,Hacking: Fake News,Detective de noticias,activity,25 min,3,,Identificar noticias falsas vs verdaderas en ejercicio práctico.,false
quinto-egb,Hacking: Phishing,¿Qué es phishing?,video,20 min,4,,Correos y mensajes falsos que intentan robar datos personales.,false
quinto-egb,Hacking: Phishing,Identificar phishing,tutorial,30 min,5,,Señales de alerta: errores ortográficos urgencia links sospechosos.,false
quinto-egb,Hacking: Phishing,Juego anti-phishing,activity,25 min,6,,Identificar correos reales vs intentos de phishing.,false
quinto-egb,Hacking: Malware,Virus y malware,video,20 min,7,,Tipos de malware: virus troyanos ransomware spyware.,false
quinto-egb,Hacking: Malware,Proteger mi computadora,tutorial,30 min,8,,Antivirus actualizaciones y no descargar archivos sospechosos.,false
quinto-egb,Hacking: Malware,Simulación de ataque,activity,25 min,9,,Juego de rol: qué hacer si detectamos un virus en la computadora.,false
quinto-egb,Hacking: Proyecto,Manual de seguridad,project,45 min,10,,Crear manual ilustrado de seguridad digital para niños.,false
quinto-egb,Hacking: Proyecto,Presentación,activity,30 min,11,,Enseñar el manual a compañeros de grados menores.,true
