levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
cuarto-egb,Internet Seguro,Bienvenida 4° EGB,video,10 min,1,,Introducción a ciudadanía digital,false,hacking,scratch
cuarto-egb,Internet Seguro,¿Qué es internet?,video,15 min,2,,Red de computadoras conectadas,false,hacking,scratch
cuarto-egb,Internet Seguro,Cómo viaja la información,video,15 min,3,,Datos viajan por cables y aire,false,hacking,scratch
cuarto-egb,Internet Seguro,Peligros en línea,video,20 min,4,,Extraños información falsa virus,false,hacking,scratch
cuarto-egb,Internet Seguro,Reglas de seguridad,activity,25 min,5,,Crear póster con reglas seguridad,false,hacking,scratch
cuarto-egb,Contraseñas,Contraseñas fuertes,video,15 min,6,,Por qué necesitamos contraseñas,false,hacking,scratch
cuarto-egb,Contraseñas,Buenos vs malos ejemplos,activity,20 min,7,,Analizar contraseñas débiles fuertes,false,hacking,scratch
cuarto-egb,Contraseñas,Crear contraseña segura,activity,25 min,8,,Técnica frase MiGatoTiene4Patas,false,hacking,scratch
cuarto-egb,Contraseñas,Juego de contraseñas,activity,20 min,9,,Adivinar si contraseña es fuerte,false,hacking,scratch
cuarto-egb,Privacidad,Información personal,video,20 min,10,,Qué NO compartir dirección teléfono,false,hacking,scratch
cuarto-egb,Privacidad,Huella digital,activity,25 min,11,,Todo lo que publicas queda siempre,false,hacking,scratch
cuarto-egb,Privacidad,Configurar privacidad,tutorial,30 min,12,,Privacidad en juegos y apps,false,hacking,scratch
cuarto-egb,Proyecto,Campaña de seguridad,project,40 min,13,,Crear campaña enseñar otros niños,false,hacking,scratch
cuarto-egb,Proyecto,Presentación,activity,30 min,14,,Presentar campaña a la clase,false,hacking,scratch
cuarto-egb,Proyecto,Certificado,activity,15 min,15,,Certificado Ciudadano Digital Seguro,true,hacking,scratch
quinto-egb,Fake News,Bienvenida 5° EGB,video,10 min,1,,Introducción detectives digitales,false,hacking,scratch
quinto-egb,Fake News,¿Qué son noticias falsas?,video,20 min,2,,Por qué existen cómo se propagan,false,hacking,scratch
quinto-egb,Fake News,Fuentes confiables,video,15 min,3,,Identificar fuentes de información,false,hacking,scratch
quinto-egb,Fake News,Verificar información,tutorial,30 min,4,,Técnicas buscar fuente fecha,false,hacking,scratch
quinto-egb,Fake News,Detective de noticias,activity,25 min,5,,Identificar falsas vs verdaderas,false,hacking,scratch
quinto-egb,Phishing,¿Qué es phishing?,video,20 min,6,,Correos mensajes falsos roban datos,false,hacking,scratch
quinto-egb,Phishing,Señales de alerta,video,15 min,7,,Errores urgencia links sospechosos,false,hacking,scratch
quinto-egb,Phishing,Identificar phishing,tutorial,30 min,8,,Analizar correos reales vs falsos,false,hacking,scratch
quinto-egb,Phishing,Juego anti-phishing,activity,25 min,9,,Identificar correos reales vs phishing,false,hacking,scratch
quinto-egb,Malware,Virus y malware,video,20 min,10,,Tipos virus troyanos ransomware,false,hacking,scratch
quinto-egb,Malware,Proteger mi computadora,tutorial,30 min,11,,Antivirus actualizaciones no descargar,false,hacking,scratch
quinto-egb,Malware,Simulación de ataque,activity,25 min,12,,Juego rol qué hacer si hay virus,false,hacking,scratch
quinto-egb,Proyecto,Manual de seguridad,project,45 min,13,,Crear manual ilustrado seguridad,false,hacking,scratch
quinto-egb,Proyecto,Presentación,activity,30 min,14,,Enseñar a compañeros menores,false,hacking,scratch
quinto-egb,Proyecto,Certificado Detective,activity,15 min,15,,Certificado Detective Digital,true,hacking,scratch
sexto-egb,Redes,Bienvenida 6° EGB,video,10 min,1,,Introducción fundamentos seguridad,false,hacking,scratch
sexto-egb,Redes,¿Cómo funciona internet?,video,25 min,2,,IP DNS servidores clientes,false,hacking,scratch
sexto-egb,Redes,Mi dirección IP,tutorial,30 min,3,,Encontrar IP qué revela nosotros,false,hacking,scratch
sexto-egb,Redes,Redes WiFi seguras,activity,25 min,4,,WPA2 contraseñas router públicas,false,hacking,scratch
sexto-egb,Encriptación,¿Qué es encriptar?,video,20 min,5,,Mensajes secretos códigos cifrado,false,hacking,scratch
sexto-egb,Encriptación,Historia criptografía,video,15 min,6,,Desde César hasta hoy,false,hacking,scratch
sexto-egb,Encriptación,Cifrado César,tutorial,35 min,7,,Implementar cifrado César papel,false,hacking,scratch
sexto-egb,Encriptación,Mensajes secretos,activity,30 min,8,,Enviar mensajes cifrados compañeros,false,hacking,scratch
sexto-egb,Autenticación,Más que contraseñas,video,20 min,9,,2FA biometría tokens,false,hacking,scratch
sexto-egb,Autenticación,Configurar 2FA,tutorial,35 min,10,,Activar 2FA cuentas reales,false,hacking,scratch
sexto-egb,Autenticación,Gestores contraseñas,tutorial,30 min,11,,Usar gestor de contraseñas,false,hacking,scratch
sexto-egb,Proyecto,Auditoría seguridad,project,45 min,12,,Revisar seguridad propias cuentas,false,hacking,scratch
sexto-egb,Proyecto,Plan de mejora,activity,30 min,13,,Plan mejorar seguridad personal,false,hacking,scratch
sexto-egb,Proyecto,Certificado,activity,15 min,14,,Certificado Fundamentos Seguridad,true,hacking,scratch
septimo-egb,Hacking Ético,Bienvenida 7° EGB,video,10 min,1,,Introducción hacking ético,false,hacking,makecode
septimo-egb,Hacking Ético,¿Qué es hacking ético?,video,25 min,2,,Diferencia hacker vs cracker,false,hacking,makecode
septimo-egb,Hacking Ético,Sombreros,video,20 min,3,,Blanco gris negro significado,false,hacking,makecode
septimo-egb,Hacking Ético,Legalidad y ética,video,20 min,4,,Leyes permisos responsabilidad,false,hacking,makecode
septimo-egb,Hacking Ético,Casos famosos,activity,30 min,5,,Analizar hackers éticos famosos,false,hacking,makecode
septimo-egb,Reconocimiento,OSINT básico,video,25 min,6,,Información pública disponible,false,hacking,makecode
