levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
cuarto-egb,Internet Seguro,¿Qué es internet?,video,15 min,1,,Red de computadoras conectadas. Información viaja.,false,hacking,scratch
cuarto-egb,Internet Seguro,Peligros en línea,video,20 min,2,,Extraños información falsa virus.,false,hacking,scratch
cuarto-egb,Internet Seguro,Reglas de seguridad,activity,25 min,3,,Crear póster con reglas de seguridad.,false,hacking,scratch
cuarto-egb,Contraseñas,Contraseñas fuertes,video,15 min,4,,Por qué necesitamos contraseñas. Ejemplos malos vs buenos.,false,hacking,scratch
cuarto-egb,Contraseñas,Crear contraseña segura,activity,25 min,5,,Técnica de frase: MiGatoTiene4Patas!,false,hacking,scratch
cuarto-egb,Contraseñas,Juego de contraseñas,activity,20 min,6,,Adivinar si contraseña es fuerte o débil.,false,hacking,scratch
cuarto-egb,Privacidad,Información personal,video,20 min,7,,Qué NO compartir: dirección teléfono escuela.,false,hacking,scratch
cuarto-egb,Privacidad,Huella digital,activity,25 min,8,,Todo lo que publicas queda para siempre.,false,hacking,scratch
cuarto-egb,Privacidad,Configurar privacidad,tutorial,30 min,9,,Configurar privacidad en juegos y apps.,false,hacking,scratch
cuarto-egb,Proyecto,Campaña de seguridad,project,40 min,10,,Crear campaña para enseñar a otros niños.,false,hacking,scratch
cuarto-egb,Proyecto,Presentación,activity,30 min,11,,Presentar campaña a la clase.,false,hacking,scratch
cuarto-egb,Proyecto,Certificado,activity,15 min,12,,Certificado de Ciudadano Digital Seguro.,true,hacking,scratch
quinto-egb,Fake News,¿Qué son noticias falsas?,video,20 min,1,,Por qué existen cómo se propagan.,false,hacking,scratch
quinto-egb,Fake News,Verificar información,tutorial,30 min,2,,Técnicas: buscar fuente fecha otras fuentes.,false,hacking,scratch
quinto-egb,Fake News,Detective de noticias,activity,25 min,3,,Identificar noticias falsas vs verdaderas.,false,hacking,scratch
quinto-egb,Phishing,¿Qué es phishing?,video,20 min,4,,Correos y mensajes falsos que roban datos.,false,hacking,scratch
quinto-egb,Phishing,Identificar phishing,tutorial,30 min,5,,Señales: errores urgencia links sospechosos.,false,hacking,scratch
quinto-egb,Phishing,Juego anti-phishing,activity,25 min,6,,Identificar correos reales vs phishing.,false,hacking,scratch
quinto-egb,Malware,Virus y malware,video,20 min,7,,Tipos: virus troyanos ransomware.,false,hacking,scratch
quinto-egb,Malware,Proteger mi computadora,tutorial,30 min,8,,Antivirus actualizaciones no descargar raro.,false,hacking,scratch
quinto-egb,Malware,Simulación de ataque,activity,25 min,9,,Juego de rol: qué hacer si hay virus.,false,hacking,scratch
quinto-egb,Proyecto,Manual de seguridad,project,45 min,10,,Crear manual ilustrado de seguridad.,false,hacking,scratch
quinto-egb,Proyecto,Presentación,activity,30 min,11,,Enseñar a compañeros menores.,false,hacking,scratch
quinto-egb,Proyecto,Certificado Detective,activity,15 min,12,,Certificado de Detective Digital.,true,hacking,scratch
sexto-egb,Redes,¿Cómo funciona internet?,video,25 min,1,,IP DNS servidores clientes.,false,hacking,scratch
sexto-egb,Redes,Mi dirección IP,tutorial,30 min,2,,Encontrar IP qué revela sobre nosotros.,false,hacking,scratch
sexto-egb,Redes,Redes WiFi seguras,activity,25 min,3,,WPA2 contraseñas de router redes públicas.,false,hacking,scratch
sexto-egb,Encriptación,¿Qué es encriptar?,video,20 min,4,,Mensajes secretos códigos cifrado.,false,hacking,scratch
sexto-egb,Encriptación,Cifrado César,tutorial,35 min,5,,Implementar cifrado César en papel.,false,hacking,scratch
sexto-egb,Encriptación,Mensajes secretos,activity,30 min,6,,Enviar mensajes cifrados entre compañeros.,false,hacking,scratch
sexto-egb,Autenticación,Más que contraseñas,video,20 min,7,,2FA biometría tokens.,false,hacking,scratch
sexto-egb,Autenticación,Configurar 2FA,tutorial,35 min,8,,Activar 2FA en cuentas reales.,false,hacking,scratch
sexto-egb,Autenticación,Gestores de contraseñas,tutorial,30 min,9,,Usar gestor de contraseñas.,false,hacking,scratch
sexto-egb,Proyecto,Auditoría de seguridad,project,45 min,10,,Revisar seguridad de sus propias cuentas.,false,hacking,scratch
sexto-egb,Proyecto,Plan de mejora,activity,30 min,11,,Crear plan para mejorar seguridad personal.,false,hacking,scratch
sexto-egb,Proyecto,Certificado,activity,15 min,12,,Certificado Fundamentos de Seguridad.,true,hacking,scratch
septimo-egb,Hacking Ético,¿Qué es hacking ético?,video,25 min,1,,Diferencia: hacker vs cracker. Sombreros.,false,hacking,makecode
septimo-egb,Hacking Ético,Legalidad y ética,video,20 min,2,,Leyes permisos responsabilidad.,false,hacking,makecode
septimo-egb,Hacking Ético,Casos famosos,activity,30 min,3,,Analizar casos de hackers éticos famosos.,false,hacking,makecode
septimo-egb,Reconocimiento,OSINT básico,video,25 min,4,,Información pública disponible.,false,hacking,makecode
septimo-egb,Reconocimiento,Buscar información,tutorial,35 min,5,,Google dorking básico redes sociales.,false,hacking,makecode
septimo-egb,Reconocimiento,Perfil de objetivo,activity,30 min,6,,Crear perfil con info pública (con permiso).,false,hacking,makecode
septimo-egb,Vulnerabilidades,¿Qué es una vulnerabilidad?,video,25 min,7,,Errores en software que pueden explotarse.,false,hacking,makecode
