levelId,moduleName,title,type,duration,order,videoUrl,content,locked
inicial-1,IA: Robots que Aprenden,¿Qué es un robot inteligente?,video,10 min,1,,Diferencia entre robot normal y robot que piensa. Videos de robots mascotas que reconocen a sus dueños.,false
inicial-1,IA: Robots que Aprenden,Robots que reconocen caras,activity,15 min,2,,Juego: mostrar fotos de familia y el robot (títere) reconoce quién es cada persona.,false
inicial-1,IA: Robots que Escuchan,Robots que entienden palabras,video,10 min,3,,Asistentes de voz como Alexa y Google. El robot escucha y responde a lo que decimos.,false
inicial-1,IA: Robots que Escuchan,Dar órdenes al robot,activity,20 min,4,,Juego de roles: un niño es el robot y otros dan comandos simples como caminar o saltar.,false
inicial-1,IA: Robots que Ven,Robots con ojos,video,10 min,5,,Las cámaras son los ojos del robot. Robots que siguen objetos de colores.,false
inicial-1,IA: Robots que Ven,Clasificar colores,activity,15 min,6,,Actividad: clasificar objetos por color como lo haría un robot inteligente.,false
inicial-1,IA: Mi Robot Amigo,Dibujar mi robot inteligente,project,25 min,7,,Proyecto final: dibujar un robot que pueda hacer algo especial como ayudar en casa.,true
inicial-1,IA: Mi Robot Amigo,Presentación de robots,activity,20 min,8,,Cada niño presenta su robot dibujado y explica qué puede hacer.,true
inicial-2,IA: Decisiones Simples,Si llueve uso paraguas,video,12 min,1,,Concepto de si...entonces. Decisiones que tomamos cada día sin pensar.,false
inicial-2,IA: Decisiones Simples,El robot que decide,activity,20 min,2,,Juego con tarjetas: situaciones donde el robot debe elegir qué hacer.,false
inicial-2,IA: Patrones,Encontrar patrones,video,10 min,3,,Secuencias de colores y formas. Los robots buscan patrones para aprender.,false
inicial-2,IA: Patrones,Completar secuencias,activity,25 min,4,,Actividad con bloques: completar patrones de colores formas y tamaños.,false
inicial-2,IA: Clasificación,Agrupar objetos,video,12 min,5,,Robots que clasifican: frutas juguetes colores. Cómo aprenden a agrupar.,false
inicial-2,IA: Clasificación,Juego de clasificación,activity,25 min,6,,Clasificar objetos del aula en grupos por tamaño color o uso.,false
inicial-2,IA: Robot Clasificador,Construir clasificador,project,30 min,7,,Proyecto: crear un robot de cartón que clasifica objetos en cajas.,true
inicial-2,IA: Robot Clasificador,Feria de robots,activity,25 min,8,,Presentación a padres de los robots clasificadores creados.,true
primero-egb,IA: Secuencias,¿Qué es una secuencia?,video,15 min,1,,Pasos para lavarse las manos vestirse o hacer un sándwich. Todo tiene orden.,false
primero-egb,IA: Secuencias,Ordenar pasos,activity,25 min,2,,Tarjetas con pasos desordenados que deben ordenarse correctamente.,false
primero-egb,IA: Secuencias,Mi rutina diaria,project,30 min,3,,Dibujar los pasos de la rutina matutina en orden correcto.,false
primero-egb,IA: Algoritmos,Instrucciones para robots,video,15 min,4,,Un algoritmo es como una receta. Instrucciones paso a paso claras.,false
primero-egb,IA: Algoritmos,Robot humano,activity,30 min,5,,Un niño es robot y otros dan instrucciones para llegar a un punto del aula.,false
primero-egb,IA: Algoritmos,Laberinto en papel,activity,25 min,6,,Escribir instrucciones con flechas para salir del laberinto.,false
primero-egb,IA: Scratch Jr,Conociendo Scratch Jr,tutorial,20 min,7,,Interfaz de Scratch Jr. Bloques básicos de movimiento y sonido.,false
