levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
inicial-1,Robots que Aprenden,¿Qué es un robot inteligente?,video,10 min,1,,Diferencia entre robot normal y robot que piensa. Videos de robots mascotas.,false,ia,scratch
inicial-1,Robots que Aprenden,Robots que reconocen caras,activity,15 min,2,,Juego: mostrar fotos de familia el robot (títere) reconoce quién es.,false,ia,scratch
inicial-1,Robots que Escuchan,Robots que entienden palabras,video,10 min,3,,Asistentes de voz (Alexa Google). El robot escucha y responde.,false,ia,scratch
inicial-1,Robots que Escuchan,Dar órdenes al robot,activity,20 min,4,,Juego de roles: un niño es el robot otros dan comandos simples.,false,ia,scratch
inicial-1,Robots que Ven,Robots con ojos,video,10 min,5,,Cámaras como ojos del robot. Robots que siguen objetos.,false,ia,scratch
inicial-1,Robots que Ven,Clasificar colores,activity,15 min,6,,Actividad: clasificar objetos por color (como haría un robot).,false,ia,scratch
inicial-1,Mi Robot Amigo,Dibujar mi robot inteligente,project,25 min,7,,Proyecto final: dibujar un robot que pueda hacer algo especial.,false,ia,scratch
inicial-1,Mi Robot Amigo,Presentación,activity,20 min,8,,Cada niño presenta su robot y qué puede hacer.,true,ia,scratch
inicial-2,Decisiones Simples,Si llueve uso paraguas,video,12 min,1,,Concepto de si...entonces. Decisiones que tomamos cada día.,false,ia,scratch
inicial-2,Decisiones Simples,El robot que decide,activity,20 min,2,,Tarjetas con situaciones elegir qué haría el robot.,false,ia,scratch
inicial-2,Patrones,Encontrar patrones,video,10 min,3,,Secuencias de colores formas. Los robots buscan patrones.,false,ia,scratch
inicial-2,Patrones,Completar secuencias,activity,25 min,4,,Actividad con bloques: completar patrones de colores y formas.,false,ia,scratch
inicial-2,Clasificación,Agrupar objetos,video,12 min,5,,Robots que clasifican: frutas juguetes colores.,false,ia,scratch
inicial-2,Clasificación,Juego de clasificación,activity,25 min,6,,Clasificar objetos del aula en grupos (por tamaño color uso).,false,ia,scratch
inicial-2,Robot Clasificador,Construir clasificador,project,30 min,7,,Proyecto: crear un robot de cartón que clasifica objetos.,false,ia,scratch
inicial-2,Robot Clasificador,Feria de robots,activity,25 min,8,,Presentación a padres de los robots clasificadores.,true,ia,scratch
primero-egb,Secuencias,¿Qué es una secuencia?,video,15 min,1,,Pasos para lavarse las manos vestirse. Todo tiene orden.,false,ia,scratch
primero-egb,Secuencias,Ordenar pasos,activity,25 min,2,,Tarjetas con pasos desordenados ordenar correctamente.,false,ia,scratch
primero-egb,Secuencias,Mi rutina diaria,project,30 min,3,,Dibujar los pasos de su rutina matutina en orden.,false,ia,scratch
primero-egb,Algoritmos,Instrucciones para robots,video,15 min,4,,Un algoritmo es una receta. Instrucciones paso a paso.,false,ia,scratch
primero-egb,Algoritmos,Robot humano,activity,30 min,5,,Un niño es robot otros dan instrucciones para llegar a un punto.,false,ia,scratch
primero-egb,Algoritmos,Laberinto en papel,activity,25 min,6,,Escribir instrucciones (↑↓←→) para salir del laberinto.,false,ia,scratch
primero-egb,Scratch Jr,Conociendo Scratch Jr,tutorial,20 min,7,,Interfaz de Scratch Jr. Bloques básicos de movimiento.,false,ia,scratch
primero-egb,Scratch Jr,Mi primer programa,activity,30 min,8,,Hacer que el gato camine de un lado a otro.,false,ia,scratch
primero-egb,Scratch Jr,Historia animada,project,35 min,9,,Crear una historia simple con 2 personajes.,false,ia,scratch
primero-egb,Proyecto Final,Planificar mi juego,video,15 min,10,,Ideas para un juego simple en Scratch Jr.,false,ia,scratch
primero-egb,Proyecto Final,Crear mi juego,project,40 min,11,,Juego simple: personaje recoge objetos.,false,ia,scratch
primero-egb,Proyecto Final,Presentación,activity,30 min,12,,Mostrar juegos a la clase.,true,ia,scratch
segundo-egb,Condicionales,Si...entonces,video,15 min,1,,Decisiones en la vida: si tengo hambre como.,false,ia,scratch
segundo-egb,Condicionales,Juego de decisiones,activity,25 min,2,,Tarjetas: Si el semáforo está rojo entonces...,false,ia,scratch
segundo-egb,Condicionales,Scratch Jr condicionales,tutorial,30 min,3,,Bloque al tocar en Scratch Jr.,false,ia,scratch
segundo-egb,Bucles,Repetir acciones,video,15 min,4,,Cosas que repetimos: caminar respirar parpadear.,false,ia,scratch
segundo-egb,Bucles,Dibujar con bucles,activity,30 min,5,,Dibujar patrones usando repetir 4 veces: línea giro.,false,ia,scratch
segundo-egb,Bucles,Bucles en Scratch Jr,tutorial,30 min,6,,Bloque repetir para animaciones.,false,ia,scratch
segundo-egb,Combinando,Condicionales + Bucles,video,15 min,7,,Combinar decisiones con repeticiones.,false,ia,scratch
segundo-egb,Combinando,Juego interactivo,project,40 min,8,,Crear juego donde personaje reacciona al tocarlo.,false,ia,scratch
segundo-egb,Combinando,Mejorando mi juego,activity,35 min,9,,Agregar sonidos y más interacciones.,false,ia,scratch
segundo-egb,Proyecto Final,Diseñar mi app,video,15 min,10,,Planificar una aplicación simple.,false,ia,scratch
segundo-egb,Proyecto Final,Crear mi app,project,45 min,11,,Aplicación con múltiples pantallas.,false,ia,scratch
