levelId,moduleName,title,type,duration,order,videoUrl,content,locked,programId,simulatorId
sexto-egb,Módulo 1: Programación con Robots,Prueba de entrada - Robótica,activity,15 min,1,,Evaluación diagnóstica sobre conocimientos previos de robótica EdScratch y Edison. Preguntas sobre sensores laberintos y programación básica.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Introducción a EdScratch,video,20 min,2,,EdScratch es un lenguaje de programación basado en bloques para el robot Edison. Aprenderemos a usar esta plataforma visual similar a Scratch para programar robots de manera intuitiva.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Conociendo el Robot Edison,video,15 min,3,,Componentes del robot Edison: LED infrarrojo sensores de luz botón grabar LEDs rojos. Características principales de los sensores IR y su funcionamiento.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Interfaz de EdScratch,tutorial,20 min,4,,Exploración de la interfaz de EdScratch en https://educatemas.com/Scb01. Elementos principales: bloques de inicio eventos movimientos y sensores.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Primer programa con Edison,activity,25 min,5,,Crear programa en EdScratch con evento de inicio (tres pitidos sonoros). Activar sensor de obstáculos y programar movimiento básico de Edison.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Edison en el laberinto,activity,30 min,6,,Programar a Edison para avanzar hasta encontrar obstáculo. Encender LEDs al chocar y emitir pitido. Usar bloques repeat until y obstacle detected.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Evasión de obstáculos,activity,30 min,7,,Modificar programa para que Edison no se detenga al encontrar obstáculo sino que cambie de dirección automáticamente. Lógica de decisiones.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Conectar Edison al computador,tutorial,15 min,8,,Pasos para conectar Edison: usar cable Edcomm verificar volumen al máximo presionar botón grabar y usar Program Edison en EdScratch.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots,Práctica: Carrera de evasión,project,40 min,9,,Programar Edison con control remoto y sensor IR para carrera de obstáculos. Diseñar pista con cinta adhesiva. Competencia cronometrada entre equipos.,false,robotica,scratch
sexto-egb,Módulo 1: Programación con Robots II,Figuras geométricas con Edison,video,20 min,10,,Programar Edison para dibujar formas geométricas: cuadrados triángulos y rectángulos. Uso de variables para modificar figuras con cambios mínimos.,false,robotica,scratch
