levelId,month,topic,project,order
inicial-1,Septiembre,Bienvenida y conociendo el kit,Encender mi primer LED,1
inicial-1,Octubre,Colores y circuitos básicos,Semáforo de colores,2
inicial-1,Noviembre,Formas y patrones luminosos,Figuras con LEDs,3
inicial-1,Diciembre,Proyecto especial navideño,Árbol de navidad LED,4
inicial-1,Enero,Repaso y práctica libre,Creación libre,5
inicial-1,Febrero,Secuencias de luces,Luces intermitentes,6
inicial-1,Marzo,Creatividad y diseño,Tarjeta luminosa,7
inicial-1,Abril,Trabajo en equipo,Proyecto grupal,8
inicial-1,Mayo,Presentación final,Expo de proyectos,9
inicial-2,Septiembre,Bienvenida y kit inicial,Mi primer circuito,1
inicial-2,Octubre,Cinta conductora,Circuito con cinta,2
inicial-2,Noviembre,Generador eólico,Molino de viento,3
inicial-2,Diciembre,Proyecto navideño,Luces navideñas,4
inicial-2,Enero,Repaso creativo,Proyecto libre,5
inicial-2,Febrero,Energía y movimiento,Ventilador simple,6
inicial-2,Marzo,Diseño de circuitos,Tarjeta interactiva,7
inicial-2,Abril,Trabajo colaborativo,Proyecto en equipo,8
inicial-2,Mayo,Expo final,Presentación de proyectos,9
primero-egb,Septiembre,Introducción a robots,Conociendo las piezas,1
primero-egb,Octubre,Robot con articulaciones,Armado básico,2
primero-egb,Noviembre,Robot pintor,Diseño creativo,3
primero-egb,Diciembre,Proyecto navideño,Robot decorativo,4
primero-egb,Enero,Repaso y práctica,Mejoras al robot,5
primero-egb,Febrero,Robot 4x4,Vehículo básico,6
primero-egb,Marzo,Movimiento y dirección,Control de motores,7
primero-egb,Abril,Proyecto integrador,Robot personalizado,8
primero-egb,Mayo,Expo de robótica,Presentación final,9
segundo-egb,Septiembre,Introducción al kit,Conociendo componentes,1
segundo-egb,Octubre,Robot radiocontrolado,Control remoto básico,2
segundo-egb,Noviembre,Navegación acuática,Robot flotante,3
segundo-egb,Diciembre,Lámpara moderna,Proyecto de iluminación,4
segundo-egb,Enero,Repaso técnico,Mejoras y ajustes,5
segundo-egb,Febrero,Electrónica básica,Circuitos simples,6
segundo-egb,Marzo,Diseño funcional,Proyecto creativo,7
segundo-egb,Abril,Integración,Proyecto combinado,8
segundo-egb,Mayo,Expo final,Demostración de proyectos,9
tercero-egb,Septiembre,Kit de robots,Introducción,1
tercero-egb,Octubre,Robot escalador,Mecanismos de tracción,2
tercero-egb,Noviembre,Carrusel,Movimiento circular,3
tercero-egb,Diciembre,Robot eólico,Energía renovable,4
tercero-egb,Enero,Repaso,Práctica libre,5
tercero-egb,Febrero,Mecánica avanzada,Engranajes,6
tercero-egb,Marzo,Diseño,Proyecto personal,7
tercero-egb,Abril,Colaboración,Trabajo en equipo,8
tercero-egb,Mayo,Expo,Presentación,9
cuarto-egb,Septiembre,Introducción,Conociendo el kit,1
cuarto-egb,Octubre,Rueda de la fortuna,Mecanismo giratorio,2
cuarto-egb,Noviembre,Radio FM,Electrónica de audio,3
cuarto-egb,Diciembre,Proyecto especial,Combinación de proyectos,4
cuarto-egb,Enero,Repaso,Mejoras técnicas,5
cuarto-egb,Febrero,Señales de radio,Transmisión básica,6
cuarto-egb,Marzo,Diseño avanzado,Personalización,7
cuarto-egb,Abril,Proyecto final,Integración,8
cuarto-egb,Mayo,Expo,Demostración,9
quinto-egb,Septiembre,Kit avanzado,Introducción,1
quinto-egb,Octubre,Rueda de la fortuna,Construcción,2
quinto-egb,Noviembre,Radio RF-FM,Comunicación inalámbrica,3
quinto-egb,Diciembre,Proyecto navideño,Aplicación práctica,4
quinto-egb,Enero,Repaso,Optimización,5
quinto-egb,Febrero,Frecuencias,Experimentación,6
quinto-egb,Marzo,Diseño,Proyecto personal,7
quinto-egb,Abril,Integración,Proyecto completo,8
quinto-egb,Mayo,Expo,Presentación final,9
sexto-egb,Septiembre,Robot 4 en 1,Introducción,1
sexto-egb,Octubre,Transformaciones,Configuraciones del robot,2
